sector,keyword,last_hit_date,total_hit_count,avg_similarity_score
우주 / 항공,양자암호통신 상용화 및 양자 보안 관련주,2026-07-29,1,0.52
반도체,엔비디아 중국 우회 수출,2026-07-29,1,0.61
경제 일반,신규 상장주 동향,2026-07-29,1,0.61
경제 일반,항암 치료제 기술이전,2026-07-29,1,0.6
AI / 로봇,배터리 핵심광물 국산화,2026-07-29,1,0.5
AI / 로봇,미중 군사 외교 갈등,2026-07-29,1,0.61
경제 일반,IPO 신규 상장,2026-07-30,2,0.65
AI / 로봇,실리콘 음극재 배터리,2026-07-30,1,0.65
AI / 로봇,메모리 반도체 가격상승,2026-07-30,1,0.6
부동산,악성 미분양 급증,2026-07-30,1,0.68
경제 일반,미국 연준 금리 결정,2026-07-30,7,0.65
경제 일반,금·은 가격 랠리 (안전자산 수요),2026-07-30,1,0.49
AI / 로봇,초전도체 기술 실험 결과 기대감,2026-07-30,1,0.62
반도체,수도권 전셋값 상승,2026-07-30,1,0.6
국제 - 미국,영국 기준금리 동결,2026-07-30,1,0.63
반도체,일본 증시 상승,2026-07-30,1,0.49
부동산,재건축 재개발 시공사선정,2026-07-30,1,0.65
AI / 로봇,중국 관세 보복,2026-07-30,2,0.63
반도체,대만 해협 갈등,2026-07-30,1,0.39
AI / 로봇,"글로벌 빅테크 기업(MS, 구글, 애플, 아마존) 실적 및 투자",2026-07-30,1,0.61
반도체,뉴욕 증시 시황,2026-07-30,1,0.67
코인 / STO,금리 변동성 우려,2026-07-30,1,0.63
